name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
pax dei,2024-06-18,68881,39.99,2451023.0,69.21122935169132,74,indie,"mainframe industries,new tales",mainframe industries,1995520
carx street,2024-08-29,136133,19.99,2449168.0,7.853044831749314,60,indie,"carx technologies, llc","carx technologies, llc",1114150
cultivation tales,2024-04-17,201079,19.99,2443731.0,60.02369541089477,37,indie,ac games,ac games,1504570
new cycle,2024-01-18,106400,29.99,2442964.0,10.627153230165622,80,aa,daedalic entertainment,core engage,2198510
the genesis order,2024-04-02,173321,14.99,2346551.0,18.6095826363562,0,indie,nlt media,nlt media,2553870
killer klowns from outer space: the game,2024-06-04,64300,39.99,2314221.0,21.16766952023593,78,indie,illfonic publishing,"illfonic,teravision games",1556100
topspin 2k25,2024-04-25,45454,59.99,2299213.0,17.322994898766265,49,indie,2k games,hangar 13,1785650
south park: snow day!,2024-03-26,83739,29.99,2265184.0,4.835970573387596,53,aa,thq nordic,question,1214650
rail route,2024-02-22,139096,24.99,2255205.0,20.786639916873984,92,indie,bitrich.info,bitrich.info,1124180
under night in-birth ii sys:celes,2024-01-24,56781,49.99,2247373.0,32.03274584538905,82,aa,arc system works,"french-bread,arc system works",2076010
jujutsu kaisen cursed clash,2024-02-01,42729,59.99,2207967.0,11.63491680640775,55,aa,bandai namco entertainment inc.,byking inc.,1877020
atelier resleriana: forgotten alchemy and the polar night liberator,2024-01-24,137669,0.0,2197863.0,37.10854335586316,53,indie,koei tecmo games,"koei tecmo games,akatsuki games inc.",2594920
bunny garden,2024-04-18,102708,24.99,2172825.0,5.88196947795539,94,indie,qureate,qureate,2654470
depersonalization,2024-08-08,164038,19.99,2159417.0,8.589737121444603,94,aa,gamera games,meownature,1477070
gladiator guild manager,2024-06-22,288820,14.99,2112751.0,6.271641034677983,83,indie,"grabthegames,gamera games,upgradepoint",entertainment forge,1043260
panicore,2024-05-31,485121,4.99,2094731.0,4.136291829591577,79,indie,ztek studio,ztek studio,2695940
terminator: dark fate - defiance,2024-02-21,59124,39.99,2060085.0,27.542340994676504,79,aa,slitherine ltd.,slitherine ltd.,1839950
sword of convallaria,2024-07-31,236805,0.0,2044690.0,24.98715681366647,73,indie,xd,xd,2526380
goat simulator 3,2024-02-15,140967,29.99,2033656.0,16.64641648994527,97,aa,coffee stain publishing,coffee stain north,850190
third crisis,2024-05-19,116466,24.99,2002691.0,11.262251560361456,95,indie,anduo games,anduo games,1260820
taxi life: a city driving simulator,2024-03-07,77813,29.99,1998591.0,8.299960397722103,56,aa,nacon,simteract,1351240
the casting of frank stone™,2024-09-03,54672,39.99,1967699.0,4.249148340961347,63,aa,behaviour interactive inc.,supermassive games,2223840
"knowledge, or know lady",2024-03-28,409646,6.99,1945765.0,6.768113464360378,96,indie,蒸汽满满工作室,蒸汽满满工作室,2786680
survival: fountain of youth,2024-05-21,98313,27.99,1913709.0,40.650295048620855,88,indie,"twin sails interactive,ce-asia",odinsoft inc.,1967630
the crew motorfest,2024-04-18,56044,69.99,1902618.0,18.217623809575706,59,aaa,ubisoft,ubisoft ivory tower,2698940
crime boss: rockay city,2024-06-18,127004,19.99,1900409.0,18.96476807453572,73,aa,505 games,ingame studios,2933080
alone in the dark,2024-03-20,45547,59.99,1898159.0,7.624716562984021,78,aa,thq nordic,pieces interactive,1310410
april 24th,2024-04-23,13978,4.99,58819.0,0.7359780707779322,85,indie,emika_games,nobody,2907190
liptrip ~my boss is my heat suppressant?!~,2024-04-14,6572,10.99,58776.0,2.229134939512905,83,indie,"hublots,lovestoryproject",sukerasomero,2793290
drive me crazy,2024-07-12,5626,12.99,58736.0,6.719917339222743,74,indie,tenth art studio,wwqk studio,2918550
star trek legends,2024-09-02,3937,19.99,58487.0,34.51471767361909,69,indie,tilting point,emerald city games,2765460
pricolage -idolized-,2024-02-19,9030,7.99,58380.0,1.129631019169127,74,indie,annulus,hijiki,2510890
beauties! they're all after me,2024-06-21,9004,8.99,58249.0,11.781097157141604,91,indie,beauties! they're all after me,beauties! they're all after me,2873760
pegidle,2024-06-19,14308,4.99,58248.0,43.43774505157989,79,indie,eagleeye games,eagleeye games,2821890
bulletstorm vr,2024-01-18,1677,39.99,58243.0,1.5560455601858747,42,indie,people can fly,incuvo,2451320
direct contact,2024-02-29,3373,19.99,58027.0,6.3026994607693485,32,indie,mountain 81,mountain 81,2084450
leap year,2024-06-13,12917,4.99,58010.0,1.801851040328595,99,indie,"daniel linssen,sokpop collective",daniel linssen,2951770
alice in the nightmare land,2024-06-07,5522,12.99,57974.0,3.1800400261125,87,indie,otaku plan,tsukki's tea party,2583430
dungeon keeper gold™,2024-03-07,30374,4.99,57919.0,9.718970792205097,95,aaa,electronic arts,bullfrog productions,1996630
yolk heroes: a long tamago,2024-05-20,8825,7.99,57880.0,39.328561198480905,96,indie,"14 hours productions,astrolabe games",14 hours productions,2417850
女神保卫战,2024-05-24,7096,9.99,57683.0,5.124420630852716,75,indie,我的同居女神竟是小姨子,我的同居女神竟是小姨子,2933180
子归 - blossom,2024-07-18,9933,7.99,57614.0,4.020366092234975,0,indie,糯米团子工作室,糯米团子工作室,2579280
leaving dna,2024-03-07,6061,11.99,57464.0,5.139572696455877,87,indie,the impious monk,the impious monk,2415240
morimens,2024-08-01,15770,0.0,57436.540278163455,13.384947274205794,63,indie,b.i.a.v. studio,b.i.a.v. studio,3052450
